Metric,Value,Details
Week Start,2025-11-17,
Week End,2025-11-23,
,,
WEEKLY BOTTLES ACTIVITY,,
Public Bottles Verified,23,
,,
MARKETPLACE RELEASES ANALYSIS,,
Total Marketplace Releases,1812,
Marketplace Releases with Pricing,1280,70.64%
Marketplace Releases without Pricing,532,
Marketplace Releases with Complete Data,1280,70.64%
Marketplace Releases (Assets Only),532,
Assets with Pricing (KEY METRIC),70.64%,1280 of 1812 assets have pricing
,,
Generated At,2025-11-21 15:06:55,
,,
TOP UNPRICED MARKETPLACE RELEASES,,
Name,Class ID,Popularity,Asset URL
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/3trz1T7nN6k6HE9yqzLjjKeTRuwyr7WoiDcGPmE8hLED
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/EBCXTrnBPp3fqDsth71oemWRrc34qprtrCpVta1yfvh7
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/29KLzBUm8P9zK6grLfCHXtFTHwPVUBPGzMF6qDfARX4N
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/DBq29dgdaMPX86jGXzLPkD7ZfCcQvgXYyyTCPiPNeq6i
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/C3nchfA6EWJX8Sz8aa41MFcGs1xR1iKcaoPciawMkBLN
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/E62sGrzWpy8iDBmhEH5gpExzVGHT4sMWcCG9eAk65KdC
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/7TYnrE5xprd931SaaZQAGoNY9b1rX5fccnVtApmqHVEU
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/GmhuKRweDpeqYkX2YQMWD2A87SLQm2KXjjjjEJB2pwVw
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/L1TEHbeyC6Vkvxy971453mcqkALjCxbJ4vZNNHdYKbK
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/4SqpU9iN2jgY4xRC9cFLUHvbZtnR18LPjwd8VXnmNRjs
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/AHoErn9h9gvNxPdahmU9a9vGQBhUhvbJNui7kVyxaazu
Russell's Reserve Single Barrel BAXUS Team Select Camp Nelson E,161899,150173,https://baxus.co/asset/AH5qW7SWELmu2sV6W5NXyLiigU5WfGr2D9LaGvNgFgzx
,,
BOTTLES VERIFIED THIS WEEK,,
Name,Class ID,Verified Date
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 12,162832,2025-11-20 11:40:15
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 11,162831,2025-11-20 11:38:41
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 10,162830,2025-11-20 11:35:41
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 09,162829,2025-11-20 11:33:25
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 08,162828,2025-11-20 11:31:19
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 07,162827,2025-11-20 09:51:26
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 06,162826,2025-11-20 09:47:40
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 05,162825,2025-11-20 09:32:17
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 04,162824,2025-11-20 09:24:30
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 03,162823,2025-11-20 09:12:01
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 01,162822,2025-11-20 09:07:11
Rare Character Limited Release Kentucky Straight Whiskey 2025 Batch No. 03,162736,2025-11-20 08:56:27
Rare Character Limited Release Kentucky Straight Whiskey 2025 Batch No. 02,150276,2025-11-20 08:51:12
Rare Character Limited Release Straight Bourbon Whiskey 2025 Batch No. 02,109769,2025-11-20 08:42:12
Rare Character Limited Release Kentucky Straight Whiskey 2025 Batch No. 01,101592,2025-11-20 08:38:25
Sazerac Rye Full Proof,162354,2025-11-19 15:43:19
Penelope Havana Rumba Reserve,162556,2025-11-19 15:38:37
Michter's 10 Year Single Barrel Rye 2025 Bottling,162643,2025-11-17 23:13:15
Sazerac Rye Full Proof,162550,2025-11-17 02:34:24
Pure Kentucky Small Batch XO Bourbon Miniature,162546,2025-11-17 01:18:33
Crown Royal 1977 Vintage Miniature,162545,2025-11-17 01:17:01
Maker's Mark Black Wax Japanese Exclusive Miniature,162544,2025-11-17 01:13:42
Gentleman Jack 2nd Generation Pre-1998 Bottling,162531,2025-11-17 00:38:13
